2019-08-27 09:07:46.761 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.yangfulai.Ajax0SsmApplicationTests], using SpringBootContextLoader
2019-08-27 09:07:46.768 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.yangfulai.Ajax0SsmApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-08-27 09:07:46.769 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.yangfulai.Ajax0SsmApplicationTests]: Ajax0SsmApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-08-27 09:07:46.941 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.yangfulai.Ajax0SsmApplication for test class com.yangfulai.Ajax0SsmApplicationTests
2019-08-27 09:07:47.045 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-08-27 09:07:47.063 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2df3b89c, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@23348b5d, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@70325e14, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@37ceb1df, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7c9d8e2, org.springframework.test.context.transaction.TransactionalTestExecutionListener@20d525, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6200f9cb, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@2002fc1d, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@69453e37, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6f4a47c7, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@ae13544, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3d34d211]
2019-08-27 09:07:47.570 [main] INFO  com.yangfulai.Ajax0SsmApplicationTests - Starting Ajax0SsmApplicationTests on USER-20150715XA with PID 5844 (started by Administrator in D:\Java22\AJAX0SSM)
2019-08-27 09:07:47.571 [main] INFO  com.yangfulai.Ajax0SsmApplicationTests - No active profile set, falling back to default profiles: default
2019-08-27 09:07:48.639 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-08-27 09:07:48.643 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-08-27 09:07:48.687 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 29ms. Found 0 repository interfaces.
2019-08-27 09:07:48.871 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'adminDAO' and 'com.yangfulai.dao.AdminDAO' mapperInterface. Bean already defined with the same name!
2019-08-27 09:07:48.871 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'departmentDAO' and 'com.yangfulai.dao.DepartmentDAO' mapperInterface. Bean already defined with the same name!
2019-08-27 09:07:48.872 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'empDAO' and 'com.yangfulai.dao.EmpDAO' mapperInterface. Bean already defined with the same name!
2019-08-27 09:07:48.872 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'positionDAO' and 'com.yangfulai.dao.PositionDAO' mapperInterface. Bean already defined with the same name!
2019-08-27 09:07:48.872 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.yangfulai.dao]' package. Please check your configuration.
2019-08-27 09:07:49.246 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.alibaba.druid.spring.boot.autoconfigure.stat.DruidSpringAopConfiguration' of type [com.alibaba.druid.spring.boot.autoconfigure.stat.DruidSpringAopConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-27 09:07:49.331 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisConfig' of type [com.yangfulai.util.RedisConfig$$EnhancerBySpringCGLIB$$d61ded8] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-27 09:07:49.345 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$3dd5d4eb] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-27 09:07:49.402 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.datasource.druid-com.alibaba.druid.spring.boot.autoconfigure.properties.DruidStatProperties' of type [com.alibaba.druid.spring.boot.autoconfigure.properties.DruidStatProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-27 09:07:49.421 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'advisor' of type [org.springframework.aop.support.RegexpMethodPointcutAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-27 09:07:49.594 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2019-08-27 09:07:50.332 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2019-08-27 09:07:52.128 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-08-27 09:07:53.078 [container-1] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2019-08-27 09:07:53.079 [container-1] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2019-08-27 09:07:54.620 [container-1] ERROR o.s.d.redis.listener.RedisMessageListenerContainer - Connection failure occurred. Restarting subscription task after 5000 ms
2019-08-27 09:07:58.003 [main] INFO  com.yangfulai.Ajax0SsmApplicationTests - Started Ajax0SsmApplicationTests in 10.893 seconds (JVM running for 11.879)
2019-08-27 09:07:59.778 [Thread-2] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2019-08-27 09:08:01.917 [Thread-2] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2019-08-27 09:08:35.661 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.yangfulai.Ajax0SsmApplicationTests], using SpringBootContextLoader
2019-08-27 09:08:35.669 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.yangfulai.Ajax0SsmApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
